CUST_ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
C17875,-1.4384037691932916,0.34283122142328887,-1.2501161201613873,0.7474511578835804,-0.8557416864085656,-0.29943717229470673,-0.03407956630282758,-0.8920756500283171,-0.7953465685736084,0.21767361074252572,-0.26192455996014696,-0.4139158592513951,-0.5498073504603691,0.006208089081201706,0.08249063660081077
C16296,0.08424356052401065,1.1391256579338196,0.34467681023066693,-0.7500612639258082,0.7730196842065399,0.5884937660597805,-0.9420729807101944,0.3653235881834158,0.05202778166567685,-0.21028311438275707,-0.1366393619606502,-0.49897180565906574,-0.07829828473025244,-0.14134465567998522,0.03627900745327058
C17219,-1.0154282655269953,-0.968138591190975,1.4483795983641592,-0.5009454939656179,0.03184596048974778,0.31940431951777837,-0.5461654555247155,-0.34477935223115486,0.42343032785239154,-0.9529429466650632,-0.08708081423415741,-0.354090789631599,-0.14179804167306587,-0.12177965653806974,0.00406244744936105
C13108,0.04171062293915861,-1.017549930193678,0.16388322096271146,0.39459070474311936,1.7544934190452384,-0.35170346999074453,-0.6700752415900636,0.15600417639215267,-0.3465710576760443,-0.29448660614699657,0.3826804895432966,0.054958246609978875,0.21859572110796807,-0.15368256502400468,0.13198209272661499
C13576,1.5606338940915183,-2.149752372624212,0.38519836883744013,-0.058008198966056676,-0.039325826302731966,0.12197097605996862,-0.4673270236762545,-0.5645433666859347,0.43536590355692245,-0.5586713625848727,0.1360603104696721,-0.6849165553669428,-0.05613570924700231,0.4264954654445659,-0.04318739973208287
C14650,-1.735162630931451,-0.5684926986549255,0.3712098420630095,-0.06710259647023399,-0.41185494210738127,0.29076072165763506,-0.5951597529431174,0.04796724580209369,-0.009862465394741695,-0.5172577404973442,-0.038049326042620873,-0.0036801791036994015,0.18060649636387244,-0.13424659815248036,0.0013435302053678836
C16884,1.1936079832969049,2.1845672901904685,-1.510964747820219,-2.986474529321922,0.7963755046870065,-1.4284077410929326,-0.5612992296734249,0.36832581986018487,0.12735038570654256,0.004789666180721473,-0.07274611941074964,-0.5834413289337458,0.1968106038065102,0.8569166020632871,1.9277029094813127
C12545,0.5216561406114936,-1.995432457963005,2.102485812625511,-0.822848439496523,0.0893948373934213,-0.31983303174444244,-1.3594777742797362,-0.12671864610948733,-0.7093907117354007,-0.850395571412416,0.15299822673711824,1.766159952389693,-1.7222318056712511,0.7213128924716787,-0.28576176649350193
C12969,-0.2122485563576634,-1.341194531070753,1.2554330015132036,-0.3328862002577788,0.19761013262666957,0.25657337698596744,-0.31335426835532365,-0.6817690426505347,0.0518664625583961,-0.8962112232044674,-0.07724096708465915,-0.3352586967406823,-0.35609542783669446,0.0352306712102617,-0.028200812173173266
C16584,1.838102847322833,4.574992814707653,-0.5485253437971632,-1.3753444940532238,0.946323323140204,1.5247389512940945,-0.6949007820422451,0.21873891452054114,-0.6439037243215511,0.987342319671455,-1.7049037408857366,-0.8561677705405155,-0.6971848572214394,0.2094369046978566,0.0979129056629017
C12915,0.06878755718497248,-1.6796599445937463,-1.4548314877346304,0.6401039912095311,1.6582719813120101,-0.017121829936977945,0.22387269064767626,1.4283415013283354,0.37445284281364677,0.3288494773108225,0.36316364598572753,0.3192808975536379,0.409291938284991,-0.21767591520660606,-0.06109774643016573
