CUST_ID,STANDARD_BALANCE,STANDARD_BALANCE_FREQUENCY,STANDARD_ONEOFF_PURCHASES,STANDARD_INSTALLMENTS_PURCHASES,STANDARD_CASH_ADVANCE,STANDARD_ONEOFF_PURCHASES_FREQUENCY,STANDARD_PURCHASES_INSTALLMENTS_FREQUENCY,STANDARD_CASH_ADVANCE_FREQUENCY,STANDARD_CASH_ADVANCE_TRX,STANDARD_PURCHASES_TRX,STANDARD_KNN_IMPUTED_CREDIT_LIMIT,STANDARD_PAYMENTS,STANDARD_KNN_IMPUTED_MINIMUM_PAYMENTS,STANDARD_PRC_FULL_PAYMENT,STANDARD_TENURE
C17875,-0.7494942371262849,-1.788879204947593,-0.3317965544595276,-0.43593960090524947,-0.3808943446812864,-0.38924078444629223,-0.9184938406021322,-0.2091727381474648,-0.3438305708119177,-0.5574832953020703,0.8460437356593999,-0.4480528897648748,-0.36450139496967326,-0.5296226447442454,-0.38872035732813626
C16296,-0.4894471169716489,0.5154774932606131,-0.06074876777477219,-0.31577589710335546,0.3807594122616468,-0.14055692696113206,0.33863078756822046,1.0176501053650677,1.1898232072361434,-0.2028716396001415,-0.6787608581350478,-0.03398891188282621,-0.20024873406597823,-0.5296226447442454,0.3604653533813764
C17219,-0.698595412561433,0.5154774932606131,-0.34025604718808367,-0.08278484322165194,-0.487038223188395,-0.6876594438633626,1.5957554157385732,-0.6692313044646645,-0.5142365461505912,0.1911413111797793,-0.6787608581350478,-0.4832617301862215,-0.3259053350855918,-0.5296226447442454,0.3604653533813764
C13108,-0.3134627078931235,0.5154774932606131,0.7048353241595519,-0.385862804431471,-0.3821164297807674,1.5007473411370233,0.1291108542895805,-0.24751221716955396,-0.3438305708119177,0.7033581471936764,-0.8173794575709067,-0.27143386972470196,-0.29851082625261505,-0.5296226447442454,0.3604653533813764
C13576,-0.1146130125025829,0.5154774932606131,0.6957385496454445,0.823316664661297,-0.487038223188395,0.6800952070879457,1.5957554157385732,-0.6692313044646645,-0.5142365461505912,1.057969802895605,0.7074251362235411,1.3046919889764428,-0.1619318238017325,-0.24721059177919116,0.3604653533813764
C14650,-0.7418426170125574,-0.6366987435182769,-0.34025604718808367,-0.28565769214597797,-0.487038223188395,-0.6876594438633626,0.5481507208468605,-0.6692313044646645,-0.5142365461505912,-0.3210755248341178,-0.9559980570067655,-0.5049528840182025,-0.3429137474210325,-0.10600287081756835,0.3604653533813764
C16884,-0.3538436910333399,-0.012603810011014682,0.18541119130257128,-0.20101141991715285,1.1022368899371529,0.543318757210254,0.33863078756822046,3.7588368244065116,0.8490112565587965,-0.08466775436616526,-0.6787608581350478,1.0793523081886789,-0.30978201278568634,0.14816899353843793,-2.636277489456674
C12545,-0.23352587959821383,0.5154774932606131,-0.34025604718808367,0.4764060507355412,-0.487038223188395,-0.6876594438633626,1.176713034932037,-0.6692313044646645,-0.5142365461505912,3.776659163277059,-0.9559980570067655,-0.23380696001829296,0.3884257105003292,-0.5296226447442454,0.3604653533813764
C12969,-0.4592483031514584,0.5154774932606131,-0.18825024217956926,0.0698257396123261,-0.487038223188395,-0.14055692696113206,1.5957554157385732,-0.6692313044646645,-0.5142365461505912,0.7821607373496605,0.014332139044246623,-0.3115528789818655,-0.31562298078180595,-0.5296226447442454,0.3604653533813764
C16584,0.32816492933032143,0.5154774932606131,-0.34025604718808367,-0.43593960090524947,0.9820498071122946,-0.6876594438633626,-0.9184938406021322,3.9696988983787116,3.9163188126549193,-0.5968845903800624,0.9846623350952588,-0.003820119137291397,-0.1700592762393631,-0.5296226447442454,0.3604653533813764
